image,generated_caption,ground_truth_captions,bleu_score,rouge1,rouge2,rougeL,meteor_score
1000268201_693b08cb0e.jpg,a little girl in a pink dress,"['A child in a pink dress is climbing up a set of stairs in an entry way .', 'A girl going into a wooden building .', 'A little girl climbing into a wooden playhouse .', 'A little girl climbing the stairs to her playhouse .', 'A little girl in a pink dress going into a wooden cabin .']",0.8668778997501817,0.7368421052631579,0.7058823529411764,0.7368421052631579,0.5118499012508229
1001773457_577c3a7d70.jpg,two dogs playing on the road,"['A black dog and a spotted dog are fighting', 'A black dog and a tri-colored dog playing with each other on the road .', 'A black dog and a white dog with brown spots are staring at each other in the street .', 'Two dogs of different breeds looking at each other on the road .', 'Two dogs on pavement moving toward each other .']",0.18660152436542707,0.5555555555555556,0.37499999999999994,0.5555555555555556,0.39349593495934965
1002674143_1b742ab4b8.jpg,a child sitting in the grass,"['A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .', 'A little girl is sitting in front of a large painted rainbow .', 'A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .', 'There is a girl with pigtails sitting in front of a rainbow painting .', 'Young girl with pigtails painting outside in the grass .']",0.15091675624784212,0.4,0.3076923076923077,0.4,0.30671296296296297
1003163366_44323f5815.jpg,a woman laying on a bench,"['A man lays on a bench while his dog sits by him .', 'A man lays on the bench to which a white dog is also tied .', 'a man sleeping on a bench outside with a white and black dog sitting next to him .', 'A shirtless man lies on a park bench with his dog .', 'man laying on bench holding leash of dog sitting on ground']",0.12774827614356976,0.5555555555555556,0.37499999999999994,0.5555555555555556,0.39349593495934965
1007129816_e794419615.jpg,man wearing a hat,"['A man in an orange hat starring at something .', 'A man wears an orange hat and glasses .', 'A man with gauges and glasses is wearing a Blitz hat .', 'A man with glasses is wearing a beer can crocheted hat .', 'The man with pierced ears is wearing glasses and an orange hat .']",0.05731447445024055,0.6666666666666666,0.2,0.5333333333333333,0.3713235294117647
1007320043_627395c3d8.jpg,a young girl climbing on a rope,"['A child playing on a rope net .', 'A little girl climbing on red roping .', 'A little girl in pink climbs a rope bridge at the park .', 'A small child grips onto the red ropes at the playground .', 'The small child climbs on a red ropes on a playground .']",0.28150046383044863,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.5645569620253165
1009434119_febe49276a.jpg,a dog running in a field,"['A black and white dog is running in a grassy garden surrounded by a white fence .', 'A black and white dog is running through the grass .', 'A Boston terrier is running in the grass .', 'A Boston Terrier is running on lush green grass in front of a white fence .', 'A dog runs on the green grass near a wooden fence .']",0.1782870814692948,0.4705882352941177,0.26666666666666666,0.4705882352941177,0.3289473684210526
1012212859_01547e3f17.jpg,a dog playing with a ball,"['A dog shakes its head near the shore , a red ball next to it .', 'A white dog shakes on the edge of a beach with an orange ball .', 'Dog with orange ball at feet , stands on shore shaking off water', 'White dog playing with a red ball on the shore near the water .', 'White dog with brown ears standing near water with head turned to one side .']",0.18817320787862926,0.5263157894736842,0.35294117647058826,0.5263157894736842,0.36666666666666664
1015118661_980735411b.jpg,a young boy is walking down the street,"['A boy smiles in front of a stony wall in a city .', 'A little boy is standing on the street while a man in overalls is working on a stone wall .', 'A young boy runs aross the street .', 'A young child is walking on a stone paved street with a metal pole and a man behind him .', 'Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .']",0.25655257003848936,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.605
1015584366_dfcec3c85a.jpg,a dog is sitting on a log in the grass,"['A black dog leaps over a log .', 'A grey dog is leaping over a fallen tree .', 'A large black dog leaps a fallen log .', 'A mottled black and grey dog in a blue collar jumping over a fallen tree .', 'The black dog jumped the tree stump .']",0.0926349177498453,0.47058823529411764,0.13333333333333333,0.47058823529411764,0.38490853658536583
